Language	ISO 639-3 Code	Type
Blablanga	blp	Living
Blafe	bfh	Living
Blagar	beu	Living
Blang	blr	Living
Bo (Laos)	bgl	Living
Bo (Papua New Guinea)	bpw	Living
Boano (Maluku)	bzn	Living
Boano (Sulawesi)	bzl	Living
Bobongko	bgb	Living
Bobot	bty	Living
Bodo (Central African Republic)	boy	Living
Bodo (India)	brx	Living
Bodo Gadaba	gbj	Living
Bodo Parja	bdv	Living
Bofi	bff	Living
Boga	bvw	Living
Bogaya	boq	Living
Boghom	bux	Living
Boguru	bqu	Living
Bohtan Neo-Aramaic	bhn	Living
Boikin	bzf	Living
Bokha	ybk	Living
Boko (Benin)	bqc	Living
Boko (Democratic Republic of Congo)	bkp	Living
Bokobaru	bus	Living
Bokoto	bdt	Living
Bokyi	bky	Living
Bola	bnp	Living
Bolango	bld	Living
Bole	bol	Living
Bolgo	bvo	Living
Bolia	bli	Living
Bolinao	smk	Living
Bolivian Sign Language	bvl	Living
Bolo	blv	Living
Boloki	bkt	Living
Bolon	bof	Living
Bolondo	bzm	Living
Bolongan	blj	Living
Bolyu	ply	Living
Bom	bmf	Living
Boma	boh	Living
Bomboli	bml	Living
Bomboma	bws	Living
Bomitaba	zmx	Living
Bomu	bmq	Living
Bomwali	bmw	Living
Bon Gula	glc	Living
Bonan	peh	Living
Bondei	bou	Living
Bondo	bfw	Living
Bondoukou Kulango	kzc	Living
Bondum Dom Dogon	dbu	Living
Bonerate	bna	Living
Bonerif	bnv	Living
Bonggi	bdg	Living
Bonggo	bpg	Living
Bongili	bui	Living
Bongo	bot	Living
Bongu	bpu	Living
Bonjo	bok	Living
Bonkeng	bvg	Living
Bonkiman	bop	Living
Bontok	bnc	Living
Bookan	bnb	Living
Boon	bnl	Living
Boor	bvf	Living
Bora	boa	Living
Borana-Arsi-Guji Oromo	gax	Living
Border Kuna	kvn	Living
Borei	gai	Living
Borgu Fulfulde	fue	Living
Boro (Ethiopia)	bwo	Living
Borong	ksr	Living
Borôro	bor	Living
Boruca	brn	Living
Bo-Rukul	mae	Living
Boselewa	bwf	Living
Bosngun	bqs	Living
Bosnian	bos	Living
Bote-Majhi	bmj	Living
Botlikh	bph	Living
Botolan Sambal	sbl	Living
Bouna Kulango	nku	Living
Bo-Ung	mux	Living
Bouyei	pcc	Living
Bozaba	bzo	Living
Bragat	aof	Living
Brahui	brh	Living
Braj	bra	Living
Brazilian Sign Language	bzs	Living
Brem	buq	Living
Breri	brq	Living
Breton	bre	Living
Bribri	bzd	Living
British Sign Language	bfi	Living
Brokkat	bro	Living
Brokpake	sgt	Living
Brokskat	bkk	Living
Brooke's Point Palawano	plw	Living
Broome Pearling Lugger Pidgin	bpl	Living
Brunei	kxd	Living
Brunei Bisaya	bsb	Living
Bu	jid	Living
Bua	bub	Living
Bualkhaw Chin	cbl	Living
Buamu	box	Living
Bube	bvb	Living
Bubi	buw	Living
Bubia	bbx	Living
Budeh Stieng	stt	Living
Budibud	btp	Living
Budong-Budong	bdx	Living
Budu	buu	Living
Budukh	bdk	Living
Buduma	bdm	Living
Budza	bja	Living
Bugan	bbh	Living
Bugawac	buk	Living
Bughotu	bgt	Living
Buginese	bug	Living
Buglere	sab	Living
Bugun	bgg	Living
Buhid	bku	Living
Buhi'non Bikol	ubl	Living
Buhutu	bxh	Living
Bukar-Sadung Bidayuh	sdo	Living
Bukat	bvk	Living
Bukharic	bhh	Living
Bukit Malay	bvu	Living
Bukitan	bkn	Living
Bukiyip	ape	Living
Buksa	tkb	Living
Bukusu	bxk	Living
Bukwen	buz	Living
Bulgarian	bul	Living
Bulgarian Sign Language	bqn	Living
Bulgebi	bmp	Living
Buli (Ghana)	bwu	Living
Buli (Indonesia)	bzq	Living
Bullom So	buy	Living
Bulo Stieng	sti	Living
Bulu (Cameroon)	bum	Living
Bulu (Papua New Guinea)	bjl	Living
Bum	bmv	Living
Bumaji	byp	Living
Bumang	bvp	Living
Bumbita Arapesh	aon	Living
Bumthangkha	kjz	Living
Bun	buv	Living
Buna	bvn	Living
Bunaba	bck	Living
Bunak	bfn	Living
Bunama	bdd	Living
Bu-Nao Bunu	bwx	Living
Bundeli	bns	Living
Bung	bqd	Living
Bungain	but	Living
Bungku	bkz	Living
Bungu	wun	Living
